word,partOfSpeech,gloss
ahwen,n,I alone
ahwes,n,him alone(m)
ahwet,n,her alone(f)
ahwesh,n,you alone (f)
ahwehui,n,you alone (m/f)
ahwyu,n,you plural (m/f)
ak,v,spread/disperse
akaa,adj,calling an old woman
akan,n,bad luck
akon,n,yesterday
akot,n,dwarf cow
akwat,n,plural of dwaf cows
akwer,n,female that is late
akwep,n,type of palm tree
aal,v,give birth
aali,adj,small one
al,n,son/daughter
alanni,n,unripe
alef,n,kite
ale',n,curse/forbidden/law
alis,n,tongue
alwyat,n,Animal that is sacrifice to idol
amma,n,salt
ama,adj,your own (m)
amen,adj,is mine
amesh,adj,your own (f)
ames,adj,his own (m)
amet,adj,her own (f)
aminin,adj,our own (pl)
amiya,q,what is it
ami,q,why?/what?
amu',adv,problem
amu,adj,your own (pl)
amukan,adj,our own (pl)
ambal,n,wolf
aar,v,persist/struggle/try/ manage
aandi,n,amen, so it is
a'ai,n,ancient time
ai,adj,time past
aban,adv,in vain
aɓak,v,farming virgin land/ divide
acam,n,calling a female friend
andi,adj,that one
abyam,v,swimming
abi,n,cobra
adee,n,calling a father
ador,n,song
aɗeng,n,is somebody/reason
afung,n,stone
afut,n,ash
afutta',n,cement
afwar,n,ladies
afya,n,mouse
afyai,n,stones
aggas,n,spear
agwir,n,drum
ahan,n,farming/ridge
ahor,n,thatch grass
ahom,n,room
ahwam,n,buildings
ahwya,n,you alone (m)
assus,adj,his own(m, sg)
assut,adj,her own (f, sg)
ashai,n,dresks
ashish,adj,is you (f)
ashur,n,rain coat
ashwa,n,city/town/village
ataat,n,three
atin,n,nose
atur,n,community
atusun,adj,calling a female sister
avwash,n,soup
avwish,n,bird
avyash,n,birds
awang,n,menstration/skirt
awas,n,none moveable inheritance
awar,n,neckless/chain
aweng,v,breakfast/lucky
awash,adj,calling an old man/grand son
ayin,adj,is me
ayit,adj,is her/stick
ayis,adj,is he
a'at,v,journey
ambweng,n,dirt
amyar,n,dirt
amyana,n,two days ago
anaa,n,calling mother
ani,adj,that one
anin,adj,is we
andek,n,one
anggash,n,mountain
anggwas,n,soja ant
anggo,n,bad fortune
anggar,n,white hairs
anggor,v,burnt food at the bottom pot/biting
anggorri,adj,state of dying
anzur,n,placenta
anggut,n,law
anggur,n,teeth
anggum,n,crumb
anggutat,n,laws/ commandments
anggwe',adv,end
anusun,n,calling a brother
anziya,n,mucose
apil,n,two
arak,v,sleepy
arak zuruk,v,fornication/ adultery
arang,n,accuse
aryau,n,type of tree
aren,n,thorn
arya,n,men
arit,n,unicorn
arof,n,women
arom,n,clothes
asum,n,name
asummam,n,names
assin,adj,is them (pl)
assu,adj,your own (pl)
assun,adj,my own (m, sg)
bummu,v,save you
bummun,v,save me
bummut,v,save her
bummush,v,save you
bumnin,v,save us
bumkan,v,save us
but,v, spread
bwanga,n,artificial pond
bwoi,n,water log place
byam,v,swim
bya',n,beginning
ɓakum,n,jaw
ɓaas,v,scatter
ɓaasan,v,scattered repeatedly
ɓaas hun,v,you scatter
ɓaas kan,v,he scatter us
ɓaas tut,v,he scatter her
ɓaas tus,v,he scatter him
